Report Date,ASIN,Ordered Product Sales,Total Order Items,Sessions - Total,Page Views - Total,Ad Impressions,Ad Clicks,Ad Spend,Ad Sales (7-day),Ad Orders (7-day),Estimated Profit,Current Inventory,Average Review Score,Customer Acquisition Cost,Lifetime Value Estimate
2023-10-01,B00EXAMPLE1,"150.75",5,120,250,5000,50,"25.00","75.50",2,"30.15",500,4.5,"12.50","150.00"
2023-10-01,B00EXAMPLE2,"220.00",8,180,300,7500,80,"40.00","150.00",5,"55.00",300,4.2,"11.00","170.00"
2023-10-02,B00EXAMPLE1,"180.50",6,130,260,5500,60,"30.00","90.25",3,"36.10",494,4.5,"10.00","160.00"
2023-10-02,B00EXAMPLE2,"200.00",7,170,290,7000,75,"35.00","140.00",4,"50.00",293,4.3,"11.75","180.50"
2023-10-03,B00EXAMPLE1,"100.00",3,90,150,4500,40,"20.00","60.00",1,"20.00",491,4.4,"15.00","140.00"
2023-10-03,B00EXAMPLE2,"250.99",9,200,350,8000,90,"45.00","180.70",6,"62.50",287,4.3,"10.50","190.20"
2023-10-04,B00EXAMPLE1,"165.20",5,125,255,5200,55,"27.50","80.00",2,"33.00",486,4.6,"12.00","155.00"
2023-10-04,B00EXAMPLE2,"190.50",6,160,280,6800,70,"33.00","130.00",3,"45.00",281,4.2,"11.00","175.00"
2023-10-05,B00EXAMPLE1,"140.00",4,110,220,4800,48,"24.00","70.00",2,"28.00",482,4.5,"13.00","152.00"
2023-10-05,B00EXAMPLE2,"230.00",8,190,320,7800,85,"42.50","160.00",5,"58.00",273,4.3,"10.75","185.00"
2023-10-06,B00EXAMPLE1,"175.00",6,135,270,5800,62,"31.00","95.00",3,"38.00",476,4.6,"11.50","165.00"
2023-10-06,B00EXAMPLE2,"210.00",7,175,300,7200,78,"39.00","145.00",4,"52.00",266,4.2,"11.25","178.00"
2023-10-07,B00EXAMPLE1,"190.00",7,140,280,6000,65,"32.50","100.00",4,"40.00",469,4.5,"11.00","170.00"
2023-10-07,B00EXAMPLE2,"240.00",9,195,330,7900,88,"44.00","170.00",6,"60.00",257,4.3,"10.25","195.00"
2023-10-08,B00EXAMPLE1,"160.00",5,120,240,5100,52,"26.00","78.00",2,"32.00",464,4.6,"12.75","158.00"
2023-10-08,B00EXAMPLE2,"225.00",8,185,310,7600,82,"41.00","155.00",5,"56.00",249,4.2,"10.90","172.00"
2023-10-09,B00EXAMPLE1,"185.00",6,130,265,5600,61,"30.50","92.00",3,"37.00",458,4.5,"10.25","162.00"
2023-10-09,B00EXAMPLE2,"205.00",7,170,295,7100,76,"38.00","142.00",4,"51.00",242,4.3,"11.50","182.00"
2023-10-10,B00EXAMPLE1,"110.00",3,95,160,4600,42,"21.00","65.00",1,"22.00",455,4.4,"14.50","145.00"
2023-10-10,B00EXAMPLE2,"260.00",10,210,360,8200,95,"47.50","190.00",7,"65.00",232,4.3,"10.00","200.00"
