Report Date,ASIN,Ordered Product Sales,Total Order Items,Sessions - Total,Page Views - Total,Ad Impressions,Ad Clicks,Ad Spend,Ad Sales (7-day),Ad Orders (7-day),Targeted Keyword,Keyword Ad Impressions,Keyword Ad Clicks,Keyword Ad Spend,Keyword Ad Sales (7-day),Keyword Ad Orders (7-day),Estimated Profit,Current Inventory,Average Review Score,Customer Acquisition Cost,Lifetime Value Estimate
2025-10-01,B00EXAMPLE1,"150.75",5,120,250,5000,50,"25.00","75.50",2,eco water bottle,2500,25,"12.50","37.75",1,"30.15",500,4.5,"12.50","150.00"
2025-10-01,B00EXAMPLE2,"220.00",8,180,300,7500,80,"40.00","150.00",5,bluetooth earbuds,3750,40,"20.00","75.00",2,"55.00",300,4.2,"11.00","170.00"
2025-10-02,B00EXAMPLE1,"180.50",6,130,260,5500,60,"30.00","90.25",3,steel tumbler,3300,36,"18.00","54.15",2,"36.10",494,4.5,"10.00","160.00"
2025-10-02,B00EXAMPLE2,"200.00",7,170,290,7000,75,"35.00","140.00",4,wireless headphones,2800,30,"14.00","56.00",2,"50.00",293,4.3,"11.75","180.50"
2025-10-03,B00EXAMPLE1,"100.00",3,90,150,4500,40,"20.00","60.00",1,reusable bottle,1800,16,"8.00","24.00",0,"20.00",491,4.4,"15.00","140.00"
2025-10-03,B00EXAMPLE2,"250.99",9,200,350,8000,90,"45.00","180.70",6,noise cancelling HPs,4800,54,"27.00","108.42",4,"62.50",287,4.3,"10.50","190.20"
2025-10-04,B00EXAMPLE1,"165.20",5,125,255,5200,55,"27.50","80.00",2,eco water bottle,2080,22,"11.00","32.00",1,"33.00",486,4.6,"12.00","155.00"
2025-10-04,B00EXAMPLE2,"190.50",6,160,280,6800,70,"33.00","130.00",3,bluetooth earbuds,4080,42,"19.80","78.00",2,"45.00",281,4.2,"11.00","175.00"
2025-10-05,B00EXAMPLE1,"140.00",4,110,220,4800,48,"24.00","70.00",2,steel tumbler,2880,29,"14.40","42.00",1,"28.00",482,4.5,"13.00","152.00"
2025-10-05,B00EXAMPLE2,"230.00",8,190,320,7800,85,"42.50","160.00",5,wireless headphones,3120,34,"17.00","64.00",2,"58.00",273,4.3,"10.75","185.00"
2025-10-06,B00EXAMPLE1,"175.00",6,135,270,5800,62,"31.00","95.00",3,reusable bottle,3480,37,"18.60","57.00",2,"38.00",476,4.6,"11.50","165.00"
2025-10-06,B00EXAMPLE2,"210.00",7,175,300,7200,78,"39.00","145.00",4,noise cancelling HPs,2880,31,"15.60","58.00",2,"52.00",266,4.2,"11.25","178.00"
2025-10-07,B00EXAMPLE1,"190.00",7,140,280,6000,65,"32.50","100.00",4,eco water bottle,3000,32,"16.25","50.00",2,"40.00",469,4.5,"11.00","170.00"
2025-10-07,B00EXAMPLE2,"240.00",9,195,330,7900,88,"44.00","170.00",6,bluetooth earbuds,4740,53,"26.40","102.00",4,"60.00",257,4.3,"10.25","195.00"
2025-10-08,B00EXAMPLE1,"160.00",5,120,240,5100,52,"26.00","78.00",2,steel tumbler,2040,21,"10.40","31.20",1,"32.00",464,4.6,"12.75","158.00"
2025-10-08,B00EXAMPLE2,"225.00",8,185,310,7600,82,"41.00","155.00",5,wireless headphones,4560,49,"24.60","93.00",3,"56.00",249,4.2,"10.90","172.00"
2025-10-09,B00EXAMPLE1,"185.00",6,130,265,5600,61,"30.50","92.00",3,reusable bottle,3360,37,"18.29","55.20",2,"37.00",458,4.5,"10.25","162.00"
2025-10-09,B00EXAMPLE2,"205.00",7,170,295,7100,76,"38.00","142.00",4,noise cancelling HPs,2840,30,"15.20","56.80",2,"51.00",242,4.3,"11.50","182.00"
2025-10-10,B00EXAMPLE1,"110.00",3,95,160,4600,42,"21.00","65.00",1,eco water bottle,2300,21,"10.50","32.50",0,"22.00",455,4.4,"14.50","145.00"
2025-10-10,B00EXAMPLE2,"260.00",10,210,360,8200,95,"47.50","190.00",7,bluetooth earbuds,4100,47,"23.75","95.00",3,"65.00",232,4.3,"10.00","200.00"
2025-09-15,B00EXAMPLE1,"140.50",4,115,230,4900,49,"24.50","72.00",2,steel tumbler,2450,24,"12.25","36.00",1,"29.00",510,4.5,"12.80","153.00"
2025-09-15,B00EXAMPLE2,"215.00",7,175,290,7300,77,"38.50","148.00",4,wireless headphones,3650,38,"19.25","74.00",2,"53.00",310,4.2,"11.10","176.00"
2025-09-16,B00EXAMPLE3,"90.00",2,80,140,4000,35,"17.50","50.00",1,yoga mat pro,2000,17,"8.75","25.00",0,"18.00",600,4.0,"16.00","120.00"
2025-08-20,B00EXAMPLE1,"130.00",4,100,200,4700,45,"22.50","68.00",2,reusable bottle,2820,27,"13.50","40.80",1,"27.00",520,4.6,"13.50","148.00"
2025-08-20,B00EXAMPLE2,"195.00",6,150,270,6500,68,"34.00","125.00",3,noise cancelling HPs,2600,27,"13.60","50.00",1,"42.00",320,4.3,"11.90","168.00"
2025-08-21,B00EXAMPLE3,"105.00",3,85,155,4200,38,"19.00","55.00",1,exercise mat thick,2520,23,"11.40","33.00",1,"20.00",590,4.1,"15.50","130.00"
2025-07-01,B00EXAMPLE1,"120.00",3,90,180,4500,40,"20.00","60.00",1,eco water bottle,1800,16,"8.00","24.00",0,"24.00",530,4.4,"14.00","140.00"
2025-07-01,B00EXAMPLE2,"180.00",5,140,250,6000,60,"30.00","110.00",3,bluetooth earbuds,3600,36,"18.00","66.00",2,"38.00",330,4.2,"12.00","160.00"
